"","nct_id","phase","completion_date","limitations_and_caveats","why_stopped","result_group_id","X.AE_probability","X.AE_Subjects","X.Total_Subjects","time_frame","AEdescription","Treatment","Treatment_description"
"359","NCT00787852","Phase 1","12/1/11",NA,"for efficacy and safety reasons",337046,0.4,2,5,"Baseline then approximately 30 days post the last dose of drug, which could be up to 2.5 years.",NA,"Group 1","DAY Radiation 1-5 8-12 15-19 22-26 29-33 36-40 43-47 Paclitaxel 1 8 15 22 29 36 43 Carboplatin 1 8 15 22 29 36 43 Dasatinib ----------------------------------------------------------------------Maintenance Dasatinib RT: External radiotherapy, 64.8 Gy, for 35 fx Paclitaxel: 50 mg/m2/week over 1 hour IV infusion days 1, 8, 15, 22, 29, 36, 43 Carboplatin: AUC = 2 IV infusion days 1, 8, 15, 22, 29, 36, 43 Dasatinib Dose Level With chemoradiation Maintenance x 2 years* Dasatinib is to be taken 1x daily 50 mg daily"
"360","NCT00787852","Phase 1","12/1/11",NA,"for efficacy and safety reasons",337045,0.8,4,5,"Baseline then approximately 30 days post the last dose of drug, which could be up to 2.5 years.",NA,"Group 2","DAY Radiation 1-5 8-12 15-19 22-26 29-33 36-40 43-47 Paclitaxel 1 8 15 22 29 36 43 Carboplatin 1 8 15 22 29 36 43 Dasatinib ----------------------------------------------------------------------Maintenance Dasatinib RT: External radiotherapy, 64.8 Gy, for 35 fx Paclitaxel: 50 mg/m2/week over 1 hour IV infusion days 1, 8, 15, 22, 29, 36, 43 Carboplatin: AUC = 2 IV infusion days 1, 8, 15, 22, 29, 36, 43 Dasatinib Dose Level With chemoradiation Maintenance x 2 years* Dasatinib is to be taken 1x daily
70 mg daily"
"373","NCT00817531","Phase 2","2/1/11","The study was terminated after internal analysis due to treatment futility. It does not meet the required number of responses to continue the study.","terminated due to futility after interim analysis",325225,0.045454545,1,22,"3-4 weeks","Following the patient's written consent to participate in the study, then to the end of 3-4 week treatment","Dasatinib","Patients took Dasatinib 100mg daily"
"398","NCT00862836","Phase 1/Phase 2","9/1/10",NA,"Lack of efficacy",307485,0.214285714,3,14,NA,NA,"Vandetanib 100 mg","Once daily oral Vandetanib 100 mg added to standard therapy (pegylated liposomal doxorubicin 50 mg/m2 iv every 4 weeks)"
"459","NCT00975806","Phase 1/Phase 2","10/1/11",NA,"MTD determined sub-optimal as efficacious treatment for renal cell carcinoma.",271336,0.571428571,4,7,"Phase 1 Only. From the date of the first study drug dose to within 28 days after the study drug treatment was discontinued.","Median treatment duration with Lenalidomide and Sunitinib was shortest in Cohort A at 41 days (range = 17 to 189 days) and longest in Cohort G = 97 days (range: 60 to 125 days) of lenalidomide treatment and 97.5 days (range = 54 to 125 days) of Sunitinib","Cohort F","Lenalidomide 10 mg QD on Days 1-21 of each 21-day cycle and sunitinib 37.5 mg QD on Days 1-14 of each 21-day cycle"
"460","NCT00975806","Phase 1/Phase 2","10/1/11",NA,"MTD determined sub-optimal as efficacious treatment for renal cell carcinoma.",271337,0.6,3,5,"Phase 1 Only. From the date of the first study drug dose to within 28 days after the study drug treatment was discontinued.","Median treatment duration with Lenalidomide and Sunitinib was shortest in Cohort A at 41 days (range = 17 to 189 days) and longest in Cohort G = 97 days (range: 60 to 125 days) of lenalidomide treatment and 97.5 days (range = 54 to 125 days) of Sunitinib","Cohort A","Lenalidomide 10 mg QD and sunitinib 37.5 mg QD on Days 1-21 of each 21-day cycle"
"461","NCT00975806","Phase 1/Phase 2","10/1/11",NA,"MTD determined sub-optimal as efficacious treatment for renal cell carcinoma.",271335,0.5,2,4,"Phase 1 Only. From the date of the first study drug dose to within 28 days after the study drug treatment was discontinued.","Median treatment duration with Lenalidomide and Sunitinib was shortest in Cohort A at 41 days (range = 17 to 189 days) and longest in Cohort G = 97 days (range: 60 to 125 days) of lenalidomide treatment and 97.5 days (range = 54 to 125 days) of Sunitinib","Cohort G","Lenalidomide 15 mg QD on Days 1-21 of each 21-day cycle and sunitinib 37.5 mg QD on Days 1-14 of each 21-day cycle"
"463","NCT00976677","Phase 2","11/1/13",NA,NA,270940,0.6,3,5,"Assessed every 21 days while on treatment and for 30 days after the end of treatment.",NA,"Arm B","Patients receive paclitaxel and carboplatin (with or without bevacizumab) as in arm A. Patients also receive oral erlotinib hydrochloride once daily on days 1-21. Treatment repeats every 21 days for 6 courses in the absence of disease progression or unacceptable toxicity. After completion of 6 courses, patients with stable or responding disease may continue to receive erlotinib hydrochloride (with or without bevacizumab) as above in the absence of disease progression or unacceptable toxicity."
"468","NCT00988169","Phase 2","5/1/10",NA,NA,266624,0.2,1,5,NA,NA,"Oral Erlotinib and Pulsed Doses of Oral AT-101","Treatment-naÌøve advanced (Wet Stage IIIB and IV)NSCLC patients with EGFR activating mutations."
"487","NCT01005914","Phase 2","5/1/14","Early termination of the study due to adverse events.","Increased rate of bacterial infections",259485,0.818181818,9,11,"All unexpected adverse events (AEs) related, probably related or possibly related to the study drug which are equal or greater than Grade 3 and serious adverse events (SAEs) were collected from first patient enrollment on 10/21/09 through 2010.","Adverse events collected:
Unexpected AEs (when type or severity isn't listed in Expected AE List)
Deaths within 30 days of drug admin.
Grade ‰ä´ 3 (related to the following):
Allergic reactions
CNS thrombosis/embolism
Coagulopathy
Elevated AST, ALT
Hyperbilirubinemia
Hyperglycemia
Hypertriglyceridemia
Pancreatitis","Group 1","cyclophosphamide D1- 3: 300 m g/m2 IV 6 doses plus mesna 600 mg/ m2 /day cont. IV D1-3, cytarabine D2 & 3: 3g/m2 IV, dexD1-4; 11-14: 40 mg daily, doxorubicin hydrochloride D4: 50 mg/m2 IV
Drug:imatinib mesylate 600 mg/day
Drug:methotrexate Day 1: 1g/ m2 (200 mg/ m2load IV over 2 hours plus 800 mg/ m2 over 22 hours as an infusion
Drug: methylprednisolone Day 1-3: 50mg IV BID
Drug: pegaspargase Day 3/Day4: 2,500 IU/ m2 IV
Drug: vincristine sulfate Day 4 & 11: 2 mg IV
cyclophosphamide: Day 1- 3: 300 m g/m2 IV over 2-3 hours every 12 hours for 6 doses plus mesna 600 mg/ m2 /day continuous infusion Days 1-3
cytarabine: Day 2 & 3: 3g/m2 IV over 2 hours q12 X 4
dexamethasone: Day 1-4; 11-14: 40 mg daily
doxorubicin hydrochloride: Day 4: 50 mg/m2 IV over 2 hours
imatinib mesylate: 600 mg/day
methotrexate: D"
"492","NCT01009203","Phase 2","12/1/12",NA,"High patient withdrawal rate",258620,0.333333333,4,12,"3 years",NA,"Erlotinib and Temsirolimus","Erlotinib at 150 mg by mouth daily + Temsirolimus at 15 mg intravenously weekly. Each cycle is comprised of 28 days."
"495","NCT01017653","Phase 2","10/1/11",NA,"study did not reach benchmark efficacy rule at 16 subjects",255848,0.0625,1,16,"16 months","The adverse events were gathered in Common Terminology Criteria for Adverse Events v.3.0, and have been converted to v.4.0 for entry into ClinicalTrials.gov","Panitumumab and Irinotecan","Panitumumab in Combination with Irinotecan : Panitumumab, 6mg/kg, as an intravenous infusion every other week in combination with Irinotecan (dose dependent upon whether the patient is taking an enzyme-inducing anti-epileptic drug [EIAED]). On an enzyme-inducing anti-epileptic drug (EIAED), irinotecan will be dosed at 340 mg/m2 every other week. Not on an EIAED, irinotecan will be dosed at 125 mg/m2. Treatment will continue until tumor progression or unacceptable toxicity."
"503","NCT01035658","Phase 1/Phase 2","3/1/14","Per protocol, study did not proceed to phase II based on analyses from phase I. Therefore, Phase II outcomes (all outcomes other than determination of the MTD) were not evaluated and will not be posted.","Based on analyses in Phase I, the study did not advance to Phase II.",249754,0.666666667,2,3,NA,NA,"Dose Level 1 Sequential","Systemic therapy with pazopanib and liposomal doxorubicin (Doxil). In this schedule, liposomal doxorubicin (30mg) was given on day 1, and pazopanib (400mg) was given days 3 - 26 of each 28 day cycle. Cycles will continue until disease progression, unacceptable toxicity or withdrawal.
Pazopanib: All patients will begin treatment with a 7-day run in period of single-agent pazopanib. Patients will receive pazopanib orally days 1-28 of a 28 day cycle.
Doxil: Liposomal doxorubicin (Doxil) will be administered IV on day 1 of a 28-day treatment cycle"
"504","NCT01035658","Phase 1/Phase 2","3/1/14","Per protocol, study did not proceed to phase II based on analyses from phase I. Therefore, Phase II outcomes (all outcomes other than determination of the MTD) were not evaluated and will not be posted.","Based on analyses in Phase I, the study did not advance to Phase II.",249755,0.125,1,8,NA,NA,"Dose Level -1","Systemic therapy with pazopanib and liposomal doxorubicin (Doxil). Single-agent pazopanib will be given for a 7 day run-in period, followed by a combination of pazopanib (400mg) and liposomal doxorubicin (30mg) administered in 28-day treatment cycles. Cycles will continue until disease progression, unacceptable toxicity or withdrawal.
Pazopanib: All patients will begin treatment with a 7-day run in period of single-agent pazopanib. Patients will receive pazopanib orally days 1-28 of a 28 day cycle.
Doxil: Liposomal doxorubicin (Doxil) will be administered IV on day 1 of a 28-day treatment cycle"
"505","NCT01035658","Phase 1/Phase 2","3/1/14","Per protocol, study did not proceed to phase II based on analyses from phase I. Therefore, Phase II outcomes (all outcomes other than determination of the MTD) were not evaluated and will not be posted.","Based on analyses in Phase I, the study did not advance to Phase II.",249756,0.6,3,5,NA,NA,"Dose Level 1","Systemic therapy with pazopanib and liposomal doxorubicin (Doxil). Single-agent pazopanib will be given for a 7 day run-in period, followed by a combination of pazopanib (400mg) and liposomal doxorubicin (40mg) administered in 28-day treatment cycles. Cycles will continue until disease progression, unacceptable toxicity or withdrawal.
Pazopanib: All patients will begin treatment with a 7-day run in period of single-agent pazopanib. Patients will receive pazopanib orally days 1-28 of a 28 day cycle.
Doxil: Liposomal doxorubicin (Doxil) will be administered IV on day 1 of a 28-day treatment cycle"
"506","NCT01035658","Phase 1/Phase 2","3/1/14","Per protocol, study did not proceed to phase II based on analyses from phase I. Therefore, Phase II outcomes (all outcomes other than determination of the MTD) were not evaluated and will not be posted.","Based on analyses in Phase I, the study did not advance to Phase II.",249753,0.166666667,1,6,NA,NA,"Dose Level 2 Sequential","Systemic therapy with pazopanib and liposomal doxorubicin (Doxil). In this schedule, liposomal doxorubicin (40mg) was given on day 1, and pazopanib (400mg) was given days 3 - 26 of each 28 day cycle. Cycles will continue until disease progression, unacceptable toxicity or withdrawal.
Pazopanib: All patients will begin treatment with a 7-day run in period of single-agent pazopanib. Patients will receive pazopanib orally days 1-28 of a 28 day cycle.
Doxil: Liposomal doxorubicin (Doxil) will be administered IV on day 1 of a 28-day treatment cycle"
"510","NCT01057017","Phase 2","12/1/11",NA,"possible lack of efficacy",243852,0.2,1,5,"from time of signing consent to 30 days post last dose of drug (occurred up to approximately 10 months)",NA,"Intervention","Bevacizumab: 7.5mg/kg, IV over 30-90 minutes every 3 weeks until disease progression.
Panitumumab Dose Level 1: 6mg/kg over 60-120 minutes every 3 weeks until disease progression Dose Level 2: 9mg/kg over 60-120 minutes every 3 weeks until disease progression"
"518","NCT00642746","Phase 2","12/1/11","Study terminated before target enrollment was reached due to excessive toxicities and limited enrollment.","Terminated due to poor enrollment and grade 3 toxicities noted during an interim analysis.",391447,0.222222222,2,9,"Adverse Events have been collected since the study opened to enrollment to study closure, totaling 5.5 years.",NA,"FOLFIRI With Erlotinib",NA
"547","NCT01179737","Phase 2","1/1/13",NA,"Study was terminated due to serious adverse event (SAE)",205167,0.583333333,7,12,"Adverse events were collected over the duration of treatment 140 days for cohort 1, 168 days for cohort 2 and up to 1092 days in the extension study","23 participants were enrolled into the study; 8 participants completed cohort 1 and 6 of these participants moved into cohort 1 expansion of which 5 participants completed Cohort 1 expansion. Of the 5 participants, 3 went into an Extension. None of the participants completed treatment as trial was terminated","Cohort 1: Nilotinib","Participants were assigned to receive nilotinib 50 mg during 14 days, followed by 150 mg during 14 days, followed by 300 mg during 140 days."
"548","NCT01179737","Phase 2","1/1/13",NA,"Study was terminated due to serious adverse event (SAE)",205165,0.5,2,4,"Adverse events were collected over the duration of treatment 140 days for cohort 1, 168 days for cohort 2 and up to 1092 days in the extension study","23 participants were enrolled into the study; 8 participants completed cohort 1 and 6 of these participants moved into cohort 1 expansion of which 5 participants completed Cohort 1 expansion. Of the 5 participants, 3 went into an Extension. None of the participants completed treatment as trial was terminated","Cohort 2: Nilotinib","Participants were assigned to receive nilotinib 300 mg during 168 days"
"549","NCT01179737","Phase 2","1/1/13",NA,"Study was terminated due to serious adverse event (SAE)",205166,0.333333333,1,3,"Adverse events were collected over the duration of treatment 140 days for cohort 1, 168 days for cohort 2 and up to 1092 days in the extension study","23 participants were enrolled into the study; 8 participants completed cohort 1 and 6 of these participants moved into cohort 1 expansion of which 5 participants completed Cohort 1 expansion. Of the 5 participants, 3 went into an Extension. None of the participants completed treatment as trial was terminated","Cohort 1: Placebo","Participants were assigned to receive placebo to nilotinib to match 50 mg and 150 mg capsules during 168 days."
"551","NCT01182610","Phase 2","3/1/12","This study was closed due to notification and preliminary results from a trial including panitumumab as part of combination chemotherapy for gastroesophageal cancer. The study was closed by mutual consent from the PI, Sponsor, and Funder.","Safety concern in a similar trial enrolling the same patient population",204216,1,1,1,"Adverse events collected beginning on day 1 of study treatment through the End of Treatment visit (30 days post-operative, 6 weeks from last treatment administration if treatment failure, or 30 days from last dose of study treatment if early withdrawal).","Systematic Assessment- subjects were assessed for adverse events on day 1 of each cycle by either the research coordinator, treating physician, or other appropriate sub-investigator.","Treatment Group: Panitumumab, Paclitaxel, Carboplatin and 5FU","Panitumumab 9mg/kg on Days 1, 22, and 43; Paclitaxel 200mg/m2 on Days 1 and 22; Carboplatin AUC=6 on Days 1 and 22; 5FU 225mg/m2/day on Days 1-15 and 22-36"
"600","NCT01313663","Phase 2","7/1/12",NA,NA,163160,0.2,2,10,"Participants were analyzed from the time the first dose of study treatment was administered until 28 days following discontinuation of study treatment regardless of initiation of a new cancer therapy or transfer to hospice (up to Study Week 55).","Serious adverse events (SAEs) and non-serious AEs were collected in the Safety Population, comprisedof all participants who were randomized and took at least one dose of study medication. This population was based on the actual treatment received, if it differed from that to which the participant was randomized.","Pazopanib 800 mg","Participants received pazopanib 800 milligrams (mg) orally once a day at approximately the same time each day, either 1 hour before a meal or 2 hours after a meal. The tablets were to be swallowed whole and were not to be crushed or broken. Participants received study treatment until disease progression, death, unacceptable adverse event, withdrawal of consent, or physician decision. Participants who withdrew due to an adverse event or disease progression were followed for survival."
"620","NCT01400451","Phase 1","12/1/13","In Phase 1 of the study, MTD was not reached because more than 2 of 6 treated participants experienced DLTs with the combination therapy. Enrollments in Phase 1 were terminated and Phase 2 was not started so only overall safety was summarized.","More than 2 of 6 patients treated experienced dose limiting toxicities.",141694,0.333333333,2,6,"From the first vemurafenib dose in the Lead In Period to the last dose of combination drugs in the Treatment Period + 90 days, up to last patient, last visit, approximately 2 years.","Final safety follow-up was 23 December 2013.","Lead-In Period 960 mg Vemurafenib","Lead In Period: 28 Days of 960 mg vemurafenib orally twice daily (starting Day -27 or -13).
Events between the first vemurafenib dose and the day prior to the first ipilimumab dose."
"621","NCT01400451","Phase 1","12/1/13","In Phase 1 of the study, MTD was not reached because more than 2 of 6 treated participants experienced DLTs with the combination therapy. Enrollments in Phase 1 were terminated and Phase 2 was not started so only overall safety was summarized.","More than 2 of 6 patients treated experienced dose limiting toxicities.",141692,0.5,1,2,"From the first vemurafenib dose in the Lead In Period to the last dose of combination drugs in the Treatment Period + 90 days, up to last patient, last visit, approximately 2 years.","Final safety follow-up was 23 December 2013.","Lead- In Period 720 mg Vemurafenib Alone","These participants were receiving 720 mg vemurafenib in the Lead in Period prior to starting ipilimumab but after the DLTs were identified, ipilimumab was not started. Due to disease stabilization, they continued on 720 mg vemurafenib alone orally twice daily."
"622","NCT01400451","Phase 1","12/1/13","In Phase 1 of the study, MTD was not reached because more than 2 of 6 treated participants experienced DLTs with the combination therapy. Enrollments in Phase 1 were terminated and Phase 2 was not started so only overall safety was summarized.","More than 2 of 6 patients treated experienced dose limiting toxicities.",141693,0.25,1,4,"From the first vemurafenib dose in the Lead In Period to the last dose of combination drugs in the Treatment Period + 90 days, up to last patient, last visit, approximately 2 years.","Final safety follow-up was 23 December 2013.","Lead-In Period 720 mg Vemurafenib","Lead In Period: 28 Days of 720 mg vemurafenib orally twice daily (starting Day -27 or -13).
Events between the first vemurafenib dose and the day prior to the first ipilimumab dose."
"650","NCT01491633","Phase 2","5/1/13","Due to the toxicity of the study agent no subjects were evaluable for response","Safety issues/concerns per DF/HCC PI",120886,0.4,2,5,NA,NA,"Dasatinib","Dasatinib 140 mg by mouth each day
Dasatinib: 140 mg orally, daily in 28 day cycles"
"713","NCT01838642","Phase 2","1/1/16",NA,"Recruiting halted prematurely and will not resume. New study to open soon.",57058,0.666666667,2,3,"17 months and 19 days","No participants were enrolled in the RET mutation negative group; study closed prematurely.","RET Mutation Positive Participants","Rearranged during transfection) (RET)
Ponatinib: Ponatinib tablets will be administered orally, continually, once daily at a dose of 30 mg. A cycle of ponatinib is defined as 28 consecutive days starting with the first day of the treatment cycle. Treatment will be administered primarily in an outpatient setting."
"744","NCT02222207","Phase 2","6/1/15","As the study was prematurely terminated since pre-defined proof of concept (PoC) criteria were not met in Part A, hence part B was not initiated. Part B related end points and data were not reported since it is not conducted.",NA,16614,0.058823529,3,51,"From the start of study treatment until 30 days after last dose of study drug treatment (up to Week 16).",NA,"Part A Regorafenib","Participants self-administered 30 mg/mL, 25 mcL, 1 drop of regorafenib eye drops, topically thrice daily (TID) to the study eye for 12 weeks."
"746","NCT02439138","Phase 2","4/1/16","This study was terminated early due to safety concerns from the previously untreated CLL experience. All participants who remained on study at that time were permanently removed from protocol therapy. The median time on protocol therapy was 1 cycle","Safety issues from trials in CLL",6265,0.8,4,5,"Adverse events were collected from the time of screening until 30 days post treatment discontinuation, up to 16 weeks (median 4 weeks).",NA,"GS-1101","After the screening procedures confirms eligibility to participate in the research study. Treatment will be administered on an outpatient basis.
-- Idelalisib (GS-11-01) orally, predetermined dose twice daily per cycle for up to 6 cycles. After this initial 6 month period, for Cycles 7 and beyond, Idelalisib will be administered once a day until disease progression.
GS-1101"
"747","NCT02480010","Phase 2","9/1/05","The study was terminated at the time of interim analysis since none of the participants showed a PSA response.","The study was terminated at the time of interim analysis since none of the participants showed   a PSA response.",4937,0.181818182,6,33,"Adverse Events were recorded from the date of Screening until 7 weeks after the last infusion of study treatment.",NA,"Pertuzumab 1050 mg - Cohort B","Participants in Cohort B received 1050 mg pertuzumab as an IV infusion on Day 1 of each 3-week cycle for a maximum of 36 cycles or until study termination."
"748","NCT02480010","Phase 2","9/1/05","The study was terminated at the time of interim analysis since none of the participants showed a PSA response.","The study was terminated at the time of interim analysis since none of the participants showed   a PSA response.",4938,0.257142857,9,35,"Adverse Events were recorded from the date of Screening until 7 weeks after the last infusion of study treatment.",NA,"Pertuzumab 420 mg - Cohort A","Participants in Cohort A received an IV loading dose of 840 mg pertuzumab on Day 1 of Cycle 1 (3-week cycles); from Cycle 2 onwards, participants received IV infusions of 420 mg on Day 1. Treatment continued for a maximum of 36 cycles or until study termination."
